,book_id
0,27
1,21
5,54
6,337
7,374
8,1976
9,964
10,19
11,388
12,3504
13,1597
14,94
15,397
19,1969
20,255
21,1853
22,1142
23,442
24,35
25,32
26,857
27,33
28,9
29,26
31,687
32,398
33,273
34,1301
35,92
36,258
37,383
38,496
39,2142
40,125
41,1506
42,1206
43,708
45,824
46,87
47,60
48,248
49,855
50,408
51,10
52,236
53,969
54,42
55,83
56,287
57,230
58,130
59,560
60,115
61,298
62,653
63,489
64,127
65,160
66,4
67,646
68,663
69,245
70,148
71,58
72,93
73,550
74,132
75,107
76,514
77,36
78,1928
79,497
80,1005
81,658
82,867
83,439
84,264
85,516
86,2615
87,943
88,101
91,45
92,2193
93,795
94,48
95,131
97,167
98,325
99,2985
100,249
102,1936
103,5
105,301
106,495
107,936
108,405
109,65
112,150
113,2013
114,142
115,953
116,1053
117,612
118,806
119,8
120,483
121,55
122,78
123,1806
124,1311
125,306
126,1566
127,95
128,1986
138,662
139,13
140,956
141,407
143,354
144,2190
145,63
146,1544
147,1329
148,158
149,373
151,268
152,1067
153,1181
160,1657
164,212
165,114
166,272
167,171
168,1547
169,501
171,360
172,103
173,413
174,1025
175,100
176,611
177,1571
178,81
179,2025
180,14
181,28
182,575
183,660
185,1521
186,529
187,2757
188,350
189,798
190,391
191,222
192,492
193,1272
199,154
200,618
201,828
202,2451
203,760
204,1299
209,233
210,323
211,690
212,436
214,1843
215,2553
217,43
218,321
219,111
221,110
225,915
229,2352
231,705
235,1075
236,865
237,578
238,457
240,688
241,2621
242,453
243,784
244,557
245,635
247,219
248,520
249,380
250,1642
253,818
258,2079
259,1133
260,1312
262,1217
263,456
264,138
265,848
266,1714
267,199
268,270
269,715
271,530
274,770
275,317
276,39
278,2210
279,2357
280,2051
281,878
282,38
283,1868
284,1144
286,310
287,1055
288,265
289,76
290,367
291,2009
292,1380
294,1383
297,984
298,200
299,672
303,671
305,925
306,3425
307,633
308,387
310,934
311,2259
312,117
313,29
315,271
316,66
317,2732
319,1664
320,2192
321,47
322,601
323,2076
324,576
325,102
326,2666
327,288
328,217
330,1124
331,951
334,1221
335,839
336,59
337,229
338,109
339,2701
340,499
341,431
342,743
343,820
344,494
346,50
347,1553
349,1993
354,994
355,758
356,326
357,1102
362,339
363,574
364,3036
368,308
369,378
370,741
371,725
372,1368
373,429
379,1237
380,1365
381,468
382,57
383,122
384,186
385,410
386,119
387,1444
388,77
389,1656
392,982
393,211
394,2047
395,1970
396,2475
398,1158
404,2559
405,2809
406,2669
407,598
411,1184
413,661
415,450
416,241
417,1131
420,15
421,162
422,522
424,1318
425,180
426,531
427,2115
428,1099
429,1845
430,782
431,1248
432,2426
433,221
435,1796
437,284
438,606
439,2302
441,289
442,733
443,11
445,1210
446,883
447,1856
448,2015
450,659
451,976
452,891
453,2445
454,37
459,424
460,2604
463,523
465,136
466,545
467,168
468,194
469,80
470,181
471,113
472,3643
473,948
476,1862
477,2873
478,1283
479,75
480,173
481,228
482,1435
483,90
486,664
487,179
488,587
490,2298
491,1639
492,426
494,3352
495,129
496,357
497,85
500,120
502,213
503,2738
504,22
505,172
510,2817
511,1105
514,1783
515,371
516,561
517,546
518,498
519,903
520,1096
522,461
523,573
524,1154
525,341
526,79
527,2052
529,375
530,508
531,2136
532,726
533,1739
534,666
535,1797
536,478
537,540
538,3022
539,829
540,1949
541,2897
542,1458
543,311
544,683
547,2820
549,958
550,597
551,793
554,2252
555,430
556,485
557,296
558,901
559,2219
561,595
562,1386
563,847
564,625
565,381
566,3284
567,1675
568,2087
569,1649
570,2578
571,1145
572,1567
573,779
575,204
580,463
581,2054
584,2240
585,826
587,1073
588,104
589,1232
590,178
591,790
593,177
594,919
595,1570
596,1260
597,959
598,916
599,121
604,1454
606,895
607,905
612,547
614,669
616,409
617,108
623,722
624,1270
626,738
627,1908
628,2597
630,1672
631,1205
634,3250
635,908
636,1426
640,137
643,718
644,2314
648,1135
649,493
651,3826
653,198
654,3613
657,941
658,872
659,2024
660,283
661,2342
662,1888
663,3091
664,1581
665,2440
666,1878
667,257
668,1279
669,1079
670,2354
671,1858
672,2012
673,2184
681,2028
682,2524
683,593
686,710
687,1593
688,2285
689,2608
690,1480
696,1278
700,682
702,1748
707,2257
708,701
709,490
711,1801
712,1411
713,977
715,588
719,1537
722,1269
723,1892
726,736
728,1094
729,1204
730,97
732,614
733,1509
734,1364
735,937
736,480
737,1196
738,361
739,2002
740,3406
741,1574
742,71
743,1584
744,2131
745,40
746,1974
748,2214
749,1176
750,768
751,1485
752,89
753,274
755,400
756,1314
757,68
758,3595
759,766
760,157
761,209
762,1239
763,512
764,788
766,2574
767,2315
768,263
770,116
771,1090
772,1788
773,1980
774,1378
775,1315
777,3237
778,1381
779,1757
780,2724
781,505
782,877
783,1171
784,479
785,1068
786,1447
787,276
788,1847
791,772
792,1432
793,778
794,1111
795,1957
797,1477
800,1088
801,3002
802,559
810,2754
811,1706
813,699
814,1051
820,1526
822,2903
823,1691
824,621
825,1580
826,1434
828,2124
829,2289
830,879
831,1817
832,432
833,2671
834,455
835,156
836,1313
837,737
838,935
839,851
840,46
842,481
845,471
846,2062
847,345
850,650
851,425
852,1582
856,390
858,899
859,706
860,2355
861,1528
862,590
863,1298
864,1554
865,1084
866,568
867,532
868,1202
869,2311
870,1128
871,2129
872,881
873,1975
874,1774
879,602
882,503
883,2536
884,2380
885,2408
886,2481
889,1159
891,2368
892,1484
893,729
894,2049
897,1100
903,1515
904,3818
905,1711
906,1083
910,577
912,1495
913,1954
914,1590
916,765
917,3028
918,2103
920,2284
921,888
922,1785
924,1492
926,53
927,740
928,918
929,592
934,627
938,997
940,1255
945,2262
948,1199
949,1622
952,3293
953,731
955,2023
956,3232
957,1918
958,1686
959,2468
960,3063
961,974
962,1644
963,2679
964,304
965,777
967,1916
970,386
973,346
975,223
977,757
978,2415
980,1624
981,608
983,2361
985,1214
986,1497
987,594
988,885
989,1457
990,269
992,2027
993,762
994,538
996,1927
997,849
998,620
999,840
1000,1402
1003,191
1004,734
1005,2181
1006,1586
1007,1552
1008,1061
1010,1725
1012,639
1013,1999
1014,293
1015,1392
1016,1224
1017,2366
1018,1487
1019,1160
1020,870
1021,366
1023,2498
1024,1216
1026,3084
1028,2914
1029,1320
1030,586
1031,2506
1032,3240
1033,472
1034,2295
1035,260
1036,315
1037,1238
1038,1441
1039,2603
1040,2644
1041,1317
1042,1762
1043,3468
1046,846
1047,809
1049,2053
1050,365
1051,1064
1052,2026
1053,1758
1054,817
1056,1605
1057,2031
1058,511
1062,1167
1063,744
1064,2144
1068,2176
1069,1489
1070,1431
1076,239
1077,1701
1078,1713
1079,3143
1080,1692
1081,403
1084,2513
1088,2367
1089,1500
1090,504
1091,2485
1093,815
1094,1041
1095,1859
1096,1280
1100,2568
1104,1678
1107,1978
1108,1755
1109,2297
1110,474
1111,1620
1112,2539
1113,1534
1115,2090
1116,1887
1118,2810
1120,1015
1122,1873
1123,2939
1124,515
1126,819
1127,1518
1128,3657
1129,526
1130,1218
1132,1514
1134,1915
1136,2544
1137,1792
1138,2798
1139,1087
1140,961
1141,868
1142,2695
1144,2952
1145,1077
1146,1120
1147,2261
1148,2411
1149,914
1150,1617
1151,369
1153,2616
1154,1800
1155,792
1156,1735
1157,2326
1158,3007
1159,2288
1160,2125
1161,3120
1163,2097
1164,2750
1165,1895
1166,1572
1167,2353
1168,2937
1169,3396
1170,3082
1171,3086
1172,2068
1173,1021
1174,3524
1175,1679
1176,151
1177,41
1178,314
1179,1391
1180,2177
1181,1322
1183,1430
1187,753
1188,1555
1189,1598
1196,2807
1197,2306
1201,1393
1202,2499
1203,2875
1204,1681
1205,1016
1207,972
1209,1877
1210,723
1213,3306
1214,1968
1215,518
1225,889
1226,1007
1227,247
1228,1020
1229,3948
1234,1384
1235,500
1236,1370
1237,300
1238,2063
1240,417
1241,2241
1242,1695
1245,3
1246,469
1247,1666
1248,3700
1251,2010
1252,1291
1254,2942
1255,1010
1256,1294
1257,1367
1261,2055
1262,1138
1263,2107
1264,998
1265,1693
1266,1463
1268,2403
1269,1108
1271,1350
1274,1168
1275,49
1276,256
1277,1300
1278,275
1279,451
1280,2197
1281,3090
1282,1944
1283,541
1284,1113
1285,910
1286,707
1287,1953
1288,1235
1289,3076
1290,448
1291,2600
1292,2994
1293,1984
1294,1966
1295,1930
1296,1191
1297,900
1298,1003
1299,1207
1300,1178
1307,2030
1308,823
1309,244
1310,1234
1311,1049
1312,389
1313,2487
1314,604
1315,582
1316,3395
1317,2387
1318,1277
1320,719
1322,932
1323,2128
1324,1327
1327,2156
1328,3889
1329,780
1333,3580
1334,896
1336,1486
1337,1872
1338,2464
1339,1452
1340,2199
1341,2637
