,book_id
0,258
1,70
2,264
3,388
4,18
5,27
6,21
7,2
8,23
9,24
10,964
11,103
12,255
13,35
14,287
15,337
16,26
17,84
18,58
19,1117
20,660
21,111
22,5
23,413
24,8
25,2172
26,65
27,297
28,45
29,113
30,325
31,476
32,1237
33,145
34,36
35,102
36,222
37,200
38,13
39,640
40,693
41,575
42,55
43,268
44,1796
45,867
46,47
47,2738
48,1296
49,50
50,87
51,86
52,123
53,32
54,28
55,33
56,42
57,249
58,158
59,373
60,184
61,495
62,350
63,492
64,219
65,288
66,11
67,245
68,301
69,1057
70,596
71,782
72,426
73,397
74,658
75,101
76,344
77,372
78,943
79,1923
80,122
81,212
82,1642
83,317
84,9
85,81
86,60
87,494
88,238
89,14
90,570
91,795
92,2193
93,1055
94,181
95,119
96,1221
97,1301
98,1986
99,1037
100,963
101,1388
102,1407
103,227
104,213
105,587
106,664
107,407
108,1311
109,10
110,76
111,171
112,94
113,2559
114,522
115,408
116,516
117,574
118,233
119,2079
120,1853
121,115
122,100
123,48
124,95
125,387
126,497
127,2190
128,1733
129,489
130,1435
131,1380
132,221
133,401
134,131
135,284
136,378
137,323
138,1144
139,1752
140,860
141,2188
142,1031
143,2304
144,2142
145,948
146,1936
147,1970
148,483
149,1329
150,326
151,289
152,662
153,442
154,1142
155,3425
156,176
157,349
158,232
159,1589
160,1900
161,670
162,1498
163,739
164,488
165,865
166,1987
167,2352
168,168
169,1236
170,148
171,136
172,78
173,1639
174,186
175,398
176,450
177,2298
178,3504
179,2615
180,741
181,550
182,2357
183,758
184,150
185,66
186,2302
187,1272
188,2621
189,848
190,236
191,142
192,306
193,2192
194,114
195,132
196,22
197,576
198,431
199,7
200,1217
201,606
202,85
203,416
204,1383
205,179
206,75
207,1131
208,690
209,1184
210,1312
211,436
212,4
213,659
214,63
215,687
216,598
217,1018
218,2669
219,1246
220,2299
221,2382
222,2426
223,633
224,743
225,1153
226,2034
227,2923
228,3036
229,39
230,165
231,135
232,110
233,1299
234,360
235,496
236,2406
237,2047
238,2965
239,806
240,1053
241,612
242,936
243,1261
244,725
245,915
246,2873
247,499
248,2051
249,1868
250,2015
251,994
252,1656
253,272
254,271
255,2601
256,1843
257,883
258,1544
259,228
260,653
261,1806
262,1741
263,520
264,672
265,1410
266,2235
267,671
268,43
269,1058
270,57
271,273
272,217
273,199
274,59
275,857
276,160
277,530
278,125
279,321
280,138
281,531
282,733
283,1714
284,109
285,2013
286,310
287,383
288,380
289,211
290,127
291,969
292,714
293,468
294,1210
295,38
296,820
297,194
298,2809
299,1133
300,180
301,1258
302,1938
303,335
304,2741
305,2620
306,1553
307,405
308,167
309,953
310,374
311,878
312,281
313,80
314,1597
315,453
316,2757
317,1005
318,225
319,934
320,891
321,951
322,1318
323,129
324,1444
325,1571
326,1074
327,1124
328,1969
329,2259
330,424
331,173
332,2025
333,688
334,663
335,1283
336,2210
337,501
338,599
339,751
340,1014
341,1368
342,1768
343,2554
344,2677
345,2944
346,3000
347,2043
348,2271
349,1206
350,629
351,708
352,523
353,1099
354,456
355,956
356,560
357,29
358,353
359,2475
360,15
361,2115
362,429
363,982
364,1862
365,230
366,2732
367,54
368,117
369,661
370,715
371,92
372,1928
373,457
374,1547
375,3643
376,1856
377,1102
378,1025
379,1365
380,1727
381,1042
382,1332
383,367
384,1709
385,2009
386,609
387,243
388,72
389,305
390,703
391,237
392,944
393,818
394,556
395,578
396,1139
397,705
398,2155
399,553
400,1075
401,1248
402,1208
403,205
404,696
405,898
406,1533
407,2347
408,3340
409,1993
410,1633
411,2604
412,229
413,358
414,391
415,3047
416,364
417,976
418,3274
419,251
420,798
421,2512
422,19
423,155
424,161
425,611
426,2089
427,265
428,2701
429,90
430,339
431,154
432,248
433,770
434,804
435,839
436,1885
437,773
438,855
439,646
440,618
441,514
442,2553
443,529
444,1521
445,824
446,439
447,130
448,545
449,601
450,557
451,1664
452,828
453,2451
454,2666
455,2242
456,628
457,1643
458,785
459,93
460,763
461,410
462,2076
463,162
464,3352
465,984
466,635
467,1657
468,1704
469,2098
470,2552
471,1676
472,484
473,854
474,784
475,120
476,170
477,354
478,925
479,308
480,241
481,77
482,2445
483,1506
484,83
485,1158
486,704
487,1845
488,172
489,298
490,357
491,37
492,760
493,270
494,1566
495,107
496,2985
497,316
498,1976
499,207
500,912
501,996
502,1067
503,1226
504,1151
505,1181
506,1232
507,1267
508,1606
509,1390
510,1748
511,1107
512,465
513,121
514,709
515,2339
516,887
517,1797
518,189
519,487
520,1592
521,1677
522,1269
523,1314
524,328
525,508
526,1785
527,627
528,1090
529,1739
530,738
531,916
532,793
533,400
534,595
535,986
536,108
537,955
538,1063
539,1436
540,411
541,952
542,1627
543,919
544,2062
545,682
546,1530
547,701
548,877
549,614
550,191
551,89
552,1186
553,1096
554,699
555,788
556,1586
557,79
558,1927
559,1624
560,1402
561,296
562,786
563,278
564,1519
565,736
566,729
567,1484
568,669
569,559
570,490
571,1265
572,2536
573,1019
574,503
575,593
576,621
577,1629
578,1591
579,1196
580,62
581,368
582,480
583,577
584,2315
585,116
586,118
587,561
588,1552
589,461
590,730
591,1622
592,1421
593,772
594,899
595,283
596,1584
597,2027
598,1485
599,395
600,1503
601,2274
602,592
603,1582
604,3250
605,650
606,432
607,276
608,977
609,3232
610,608
611,1691
612,2508
613,133
614,157
615,941
616,356
617,2252
618,1315
619,1199
620,1580
621,1454
622,2024
623,799
624,2213
625,1719
626,2862
627,731
628,44
629,686
630,691
631,304
632,257
633,68
634,538
635,71
636,1094
637,3237
638,3128
639,2285
640,2453
641,2269
642,1593
643,967
644,25
645,3063
646,3826
647,872
648,274
649,512
650,1079
651,204
652,198
653,675
654,479
655,1313
656,779
657,2361
658,765
659,178
660,1783
661,2440
662,3200
663,1089
664,2469
665,1270
666,1088
667,718
668,1949
669,959
670,341
671,2671
672,777
673,64
674,1149
675,2136
676,958
677,1202
678,82
679,282
680,478
681,974
682,762
683,1135
684,901
685,2103
686,881
687,521
688,2754
689,3198
690,2574
691,3280
692,2497
693,471
694,1205
695,390
696,2023
697,1083
698,402
699,2468
700,1706
701,873
702,1977
703,1225
704,1163
705,1289
706,1233
707,1827
708,1033
709,1549
710,1476
711,1774
712,1975
713,1495
714,2746
715,2597
716,895
717,493
718,597
719,1477
720,840
721,637
722,1641
723,1980
724,1458
725,3388
726,2314
727,97
728,2129
729,1176
730,768
731,908
732,616
733,1685
734,625
735,1501
736,700
737,2710
738,879
739,361
740,1573
741,1686
742,532
743,568
744,1457
745,126
746,997
747,3028
748,2897
749,1381
750,1161
751,829
752,1916
753,1825
754,1590
755,1497
756,1460
757,371
758,2679
759,1675
760,1528
761,322
762,666
763,377
764,1155
765,1957
766,1423
767,2028
768,1725
769,1214
770,1204
771,547
772,1878
773,706
774,590
775,498
776,2052
777,1432
778,2289
779,905
780,1922
781,1578
782,3513
783,2657
784,851
785,1801
786,1918
787,1711
788,2415
789,2257
790,375
791,935
792,572
793,3595
794,3284
795,826
796,2087
797,903
798,1145
799,1084
800,1386
801,3293
802,2124
803,137
804,409
805,1123
806,1954
807,46
808,196
809,546
810,2181
811,2240
812,1937
813,937
814,1646
815,1213
816,838
817,3002
818,722
819,1023
820,1119
821,1362
822,1278
823,510
824,1249
825,330
826,1525
827,528
828,949
829,620
830,40
831,2959
832,2623
833,2783
834,3177
835,3244
836,3536
837,2903
838,1892
839,766
840,3138
841,740
842,1288
843,911
844,1411
845,362
846,1239
847,2380
848,1447
849,1974
850,1963
851,588
852,2789
853,1817
854,554
855,463
856,864
857,712
858,1026
859,3091
860,1581
861,3410
862,1858
863,2354
864,2012
865,2184
866,1260
867,2398
868,3223
869,3066
870,2547
871,2519
872,266
873,242
